"구분","등록번호","청구기호","서명","저작자","발행자","발행년","가격","자료실명"
"1","EM0000379990","029.4-이68ㄷ","(내 삶을 바꾸는) 독서의 기적","이은희 지음","생각수레","2018","15000","종합자료실"
"2","EM0000379991","005.1-마58ㅇ","(잠자는 코딩 브레인을 깨우는) 알고리즘 퍼즐69  : 수학적 사고로 구현하는 프로그래밍의 즐거움","마스이 토시카츠 지음  ; 윤인성 옮김","프리렉","2019","22000","종합자료실"
"3","EM0000379992","005.13-천73ㅋ","Core C Programming","천정아 지음","연두에디션","2019","28000","종합자료실"
"4","EM0000379993","005.13-화69ㄱ","Go를 활용한 머신 러닝  : Go 프로그래밍 언어를 사용해 회귀분석, 분류, 클러스터링, 시계열 모델, 신경망 및 딥러닝 구현하기","다니엘 화이트낵 지음  ; 장세윤 옮김","에이콘","2019","30000","종합자료실"
"5","EM0000379994","005.138-버838ㅍ","PHP & MySQL 닌자 비법서  : 견고한 웹 애플리케이션을 만들며 초보에서 고수로 거듭나기  : PHP 7 기반","톰 버틀러, 케빈 양크 지음  ; 김재영, 정병열 옮김","한빛미디어","2019","35000","종합자료실"
"6","EM0000379995","070.42-류98ㄱ","가짜 뉴스 시대에서 살아남기  : 당신도 가짜 뉴스의 희생자가 될 수 있다","류희림 지음","글로세움","2018","15000","종합자료실"
"7","EM0000379996","005.133-송68ㄲ","깔끔한 파이썬 탄탄한 백엔드  : 지금까지 없었던 백엔드 개발자를 위한 파이썬","송은우 지음","비제이퍼블릭","2019","27000","종합자료실"
"8","EM0000379997","029.8-송58ㄴ","나의 책 읽기 수업  : 어디로 튈지 모를 학생들과 함께한 한 학기 한 권 읽기의 실제","송승훈 지음","나무연필","2019","17000","종합자료실"
"9","EM0000379998","070.4-정813ㄴ","뉴스와 거짓말  : 한국 언론의 오보를 기록하다","정철운 지음","인물과사상사","2019","15000","종합자료실"
"10","EM0000379999","005.76-김832ㄷ","데이터 인문학  : 세상을 움직인 역사 속 데이터 이야기","김택우 지음","한빛미디어","2019","17000","종합자료실"
"11","EM0000380000","029.1-최45ㄷ","독한 시간  : 세상의 모든 것을 만나다","최보기 지음","모아북스(Moabooks)","2019","13800","종합자료실"
"12","EM0000380001","004.76-황73ㄹ","라이노6 독학하기  : 제품 디자이너와 3D 프린팅 모델을 위한 최고의 툴 라이노6!","황정행 지음","BM성안당","2019","25000","종합자료실"
"13","EM0000380002","005.118-토31ㄹ","(기초부터 제대로 배우는) 리액트 인 액션","마크 티에렌스 토마스 지음  ; 장현희 옮김","Jpub(제이펍)","2019","28000","종합자료실"
"14","EM0000380003","302.7-한17ㅂ","빅데이터 분석과 활용  = Big data analytics and applications in social sciences","한국행동과학연구소 엮음 ; 김수경, 김우주, 이명애, 장석호, 정연주 지음","학지사","2019","15000","종합자료실"
"15","EM0000380004","001.3-반58ㅅ","사라진 책들  : 어느 누구도 영원히 읽지 못할 그 작품","조르지오 반 스트라텐 지음  ; 노상미 옮김","Mujintree(뮤진트리)","2019","13500","종합자료실"
"16","EM0000380005","005.133-베69ㅅ","슬기로운 파이썬 트릭  : 짧고 흥미로운 코드로 배우는 파이썬 실용 코딩","댄 베이더 지음  ; 전석환 옮김","인사이트","2019","20000","종합자료실"
"17","EM0000380006","029.4-한19ㅇ","어른의 독서  : 한 번쯤 뜨겁게 시작하는 100일 몰입 독서법","한기석 지음","BM성안북스","2019","15000","종합자료실"
"18","EM0000380007","029.83-강67ㅇ","엄마의 책모임  : 책, 수다에서 토론까지","강원임 지음","이비락","2019","15000","종합자료실"
"19","EM0000380008","559-오58ㅇ","인공지능 쫌 아는 10대  : 인공지능, 네 정체를 밝혀라","오승현 글  ; 방상호 그림","풀빛","2019","13000","종합실(청소년)"
"20","EM0000380009","104-강39ㅈ","자기 배려의 책 읽기  : 니체에서 장자까지 은행원철학자의 철학책 읽기","강민혁 지음","북드라망","2019","28000","종합자료실"
"21","EM0000380010","013.1-빅835ㅈ","전자책으로 돈벌기","빅토리아 지음","Crown Lace(크라운레이스)","2019","30000","종합자료실"
"22","EM0000380011","005.76-최98ㅈ","좋은 선택 나쁜 선택  : 합리적인 선택을 위한 데이터 바로 읽기","최희탁 지음","한빛미디어","2019","14800","종합자료실"
"23","EM0000380012","818-이79ㅈ","중년 독서   : 삶의 고비 때 곁에 있어준 책들","이지상 지음","Arte(아르테)","2019","16000","종합자료실"
"24","EM0000380013","070.4-박64ㅈ","지금의 뉴스","박영흠 지음","스리체어스","2019","12000","종합자료실"
"25","EM0000380014","005.13-김94ㅊ","창의적 코딩  : 프로세싱 예제로 쉽게 배우는 프로그래밍","김형준 지음","진샘미디어","2019","25000","종합자료실"
"26","EM0000380015","013.04-한19ㅊ","책으로 만나는 21세기  : 출판평론가 한기호의 20년 칼럼 모음집","한기호 지음","한국출판마케팅연구소","2019","28000","종합자료실"
"27","EM0000380016","005.1-양72ㅋ","코딩의 시작은 프로세싱으로","양재희 지음","연두에디션","2019","23000","종합자료실"
"28","EM0000380017","004.73-수828ㅌ","텐서플로를 활용한 머신러닝  : 그림으로 쉽게 개념부터 익히는 머신러닝, 딥러닝 입문서","니샨트 수클라 지음  ; 송교석 옮김","한빛미디어","2019","30000","종합자료실"
"29","EM0000380018","005.133-아211ㅍ","파이썬 클린 코드 : 유지보수가 쉬운 파이썬 코드를 만드는 비결","마리아노 아나야 지음 ; 김창수 옮김","터닝포인트","2019","28000","종합자료실"
"30","EM0000380019","특331.65-이73ㅍ","팟캐스트 : 큰글씨책","이정기 지음","커뮤니케이션북스","2019","20000","종합실(특별)"
"31","EM0000380020","029.8309-김68ㅎ","한국 어린이 독서운동사  : 어린이도서연구회를 중심으로","김은옥 글","단비","2019","18000","종합자료실"
